sku,image,gallery,status,color,fynd_uid
5045627263938,5045627263907_1.jpg,"5045627263907_1.jpg,5045627263907_2.jpg,5045627263907_3.jpg,5045627263907_4.jpg,5045627263907_5.jpg,5045627263907_6.jpg,5045627263907_7.jpg,5045627263907_11.jpg",active,Grey,8087482
5045627263969,5045627263907_1.jpg,"5045627263907_1.jpg,5045627263907_2.jpg,5045627263907_3.jpg,5045627263907_4.jpg,5045627263907_5.jpg,5045627263907_6.jpg,5045627263907_7.jpg,5045627263907_11.jpg",active,Grey,8087482
5045627263990,5045627263907_1.jpg,"5045627263907_1.jpg,5045627263907_2.jpg,5045627263907_3.jpg,5045627263907_4.jpg,5045627263907_5.jpg,5045627263907_6.jpg,5045627263907_7.jpg,5045627263907_11.jpg",active,Grey,8087482
5045627264027,5045627263907_1.jpg,"5045627263907_1.jpg,5045627263907_2.jpg,5045627263907_3.jpg,5045627263907_4.jpg,5045627263907_5.jpg,5045627263907_6.jpg,5045627263907_7.jpg,5045627263907_11.jpg",active,Grey,8087482
5045627264058,5045627263907_1.jpg,"5045627263907_1.jpg,5045627263907_2.jpg,5045627263907_3.jpg,5045627263907_4.jpg,5045627263907_5.jpg,5045627263907_6.jpg,5045627263907_7.jpg,5045627263907_11.jpg",active,Grey,8087482
5045627264119,5045627263907_1.jpg,"5045627263907_1.jpg,5045627263907_2.jpg,5045627263907_3.jpg,5045627263907_4.jpg,5045627263907_5.jpg,5045627263907_6.jpg,5045627263907_7.jpg,5045627263907_11.jpg",active,Grey,8087482
5045625903737,5045625903737_1.jpg,"5045625903737_1.jpg,5045625903737_2.jpg,5045625903737_3.jpg,5045625903737_4.jpg,5045625903737_5.jpg,5045625903737_11.jpg",active,White,8087485
5045625903768,5045625903737_1.jpg,"5045625903737_1.jpg,5045625903737_2.jpg,5045625903737_3.jpg,5045625903737_4.jpg,5045625903737_5.jpg,5045625903737_11.jpg",active,White,8087485
5045625903799,5045625903737_1.jpg,"5045625903737_1.jpg,5045625903737_2.jpg,5045625903737_3.jpg,5045625903737_4.jpg,5045625903737_5.jpg,5045625903737_11.jpg",active,White,8087485
5045625903829,5045625903737_1.jpg,"5045625903737_1.jpg,5045625903737_2.jpg,5045625903737_3.jpg,5045625903737_4.jpg,5045625903737_5.jpg,5045625903737_11.jpg",active,White,8087485
5045625903850,5045625903737_1.jpg,"5045625903737_1.jpg,5045625903737_2.jpg,5045625903737_3.jpg,5045625903737_4.jpg,5045625903737_5.jpg,5045625903737_11.jpg",active,White,8087485
